Model Temperature 1
,,Red
,,0,1,2
Black,0,48.2,90.46653144016227,89.68335035750766
,1,9.50920245398773,46.27329192546584,90.37593984962406
,2,7.581967213114754,10.06006006006006,52.622673434856175
Model Temperature 0.5
,,Red
,,0,1,2
Black,0,47.5609756097561,94.3010752688172,92.6775956284153
,1,7.667731629392971,51.16279069767442,97.0873786407767
,2,6.745182012847966,3.0513176144244105,48.888888888888886
Model Temperature 0.25
,,Red
,,0,1,2
Black,0,50.58949624866023,94.3558282208589,89.05817174515235
,1,7.416563658838072,53.7037037037037,99.76985040276179
,2,10.124826629681,0.1141552511415525,52.39294710327456
